facility_id,report_year,report_quarter,staff_separations,avg_staff_headcount,rn_hours_per_day,turnover_rate_pct,performance_status,kpi_name,facility_name,region
NH-001,2025,1,15,105.0,1.13,14.3,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2025,2,12,71.0,1.72,16.9,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2025,3,8,70.0,1.47,11.4,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2025,4,20,125.0,1.27,16.0,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2026,1,25,145.0,1.64,17.2,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-001,2026,2,20,159.0,1.14,12.6,ON TARGET,Staff Turnover Rate,Buffalo Care Center 1,Western NY
NH-002,2025,1,2,78.0,1.67,2.6,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2025,2,6,112.0,1.09,5.4,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2025,4,8,178.0,0.56,4.5,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-002,2026,2,8,164.0,0.66,4.9,ON TARGET,Staff Turnover Rate,Utica Care Center 1,Central NY
NH-003,2025,1,20,128.0,1.03,15.6,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,3,32,179.0,0.99,17.9,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2025,4,21,158.0,1.27,13.3,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,1,7,72.0,1.72,9.7,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-003,2026,2,20,139.0,1.54,14.4,ON TARGET,Staff Turnover Rate,Schenectady Care Center 1,Capital Region
NH-004,2025,1,8,177.0,1.48,4.5,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,2,9,124.0,0.33,7.3,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
NH-004,2025,3,4,94.0,1.48,4.3,ON TARGET,Staff Turnover Rate,Manhattan Care Center 1,NYC Metro
